70 2415 1240 3655 1301 1240 2541 2415 66 2481 427 556 983 346 174 520 893 335 1228 
70 2415 1330 3745 1393 1330 2723 2415 64 2479 432 466 898 349 181 530 905 336 1241 
70 2415 1288 3703 1353 1288 2641 2415 64 2479 456 452 908 343 174 517 887 330 1217 
80 3160 1502 4662 1575 1502 3077 3160 76 3236 441 504 945 407 213 620 1099 417 1516 
80 3160 1407 4567 1481 1407 2888 3160 73 3233 471 454 925 411 215 626 1104 424 1528 
80 3160 1690 4850 1762 1690 3452 3160 76 3236 471 564 1035 415 214 629 1090 406 1496 
80 3160 1770 4930 1845 1770 3615 3160 71 3231 429 434 863 399 193 592 1091 402 1493 
80 3160 1569 4729 1642 1569 3211 3160 75 3235 493 682 1175 402 210 612 1088 407 1495 
80 3160 1511 4671 1585 1511 3096 3160 73 3233 496 578 1074 413 209 622 1080 415 1495 
80 3160 1681 4841 1755 1681 3436 3160 73 3233 470 532 1002 409 209 618 1064 392 1456 
80 3160 1759 4919 1833 1759 3592 3160 76 3236 410 398 808 410 204 614 1094 408 1502 
80 3160 1536 4696 1612 1536 3148 3160 74 3234 448 458 906 411 210 621 1125 424 1549 
80 3160 1562 4722 1635 1562 3197 3160 74 3234 533 678 1211 402 218 620 1068 411 1479 
90 4005 2085 6090 2173 2085 4258 4005 86 4091 719 742 1461 468 250 718 1267 479 1746 
90 4005 2173 6178 2259 2173 4432 4005 87 4092 567 578 1145 481 264 745 1242 468 1710 
90 4005 2134 6139 2217 2134 4351 4005 84 4089 676 688 1364 465 228 693 1285 481 1766 
90 4005 1794 5799 1880 1794 3674 4005 85 4090 564 416 980 472 255 727 1293 508 1801 
90 4005 2208 6213 2292 2208 4500 4005 86 4091 493 496 989 473 249 722 1266 471 1737 
90 4005 2085 6090 2172 2085 4257 4005 87 4092 608 454 1062 477 248 725 1259 468 1727 
90 4005 1842 5847 1925 1842 3767 4005 83 4088 606 754 1360 478 256 734 1259 473 1732 
90 4005 1846 5851 1930 1846 3776 4005 87 4092 595 554 1149 477 256 733 1258 473 1731 
90 4005 1770 5775 1856 1770 3626 4005 85 4090 523 582 1105 479 244 723 1273 485 1758 
90 4005 2050 6055 2135 2050 4185 4005 86 4091 510 552 1062 470 242 712 1262 488 1750 
100 4950 2299 7249 2394 2299 4693 4950 95 5045 627 514 1141 546 283 829 1456 551 2007 
100 4950 2596 7546 2691 2596 5287 4950 95 5045 637 644 1281 542 282 824 1463 548 2011 
100 4950 2562 7512 2654 2562 5216 4950 96 5046 630 652 1282 540 283 823 1449 534 1983 
100 4950 2260 7210 2355 2260 4615 4950 96 5046 666 524 1190 542 290 832 1453 551 2004 
100 4950 2327 7277 2422 2327 4749 4950 95 5045 613 582 1195 547 292 839 1455 564 2019 
100 4950 2653 7603 2748 2653 5401 4950 97 5047 681 612 1293 539 278 817 1448 528 1976 
100 4950 2353 7303 2446 2353 4799 4950 95 5045 720 694 1414 536 277 813 1444 541 1985 
100 4950 2814 7764 2906 2814 5720 4950 97 5047 674 720 1394 541 274 815 1470 546 2016 
100 4950 2228 7178 2324 2228 4552 4950 93 5043 637 498 1135 543 275 818 1463 550 2013 
100 4950 2696 7646 2791 2696 5487 4950 94 5044 599 504 1103 545 277 822 1444 526 1970 
110 5995 3075 9070 3177 3075 6252 5995 106 6101 756 766 1522 620 333 953 1693 636 2329 
110 5995 3041 9036 3146 3041 6187 5995 106 6101 738 836 1574 614 316 930 1610 586 2196 
110 5995 2934 8929 3038 2934 5972 5995 104 6099 776 690 1466 611 321 932 1618 612 2230 
110 5995 2938 8933 3042 2938 5980 5995 105 6100 752 872 1624 603 295 898 1645 608 2253 
110 5995 3005 9000 3110 3005 6115 5995 108 6103 787 786 1573 615 320 935 1656 620 2276 
110 5995 3053 9048 3156 3053 6209 5995 104 6099 699 732 1431 616 313 929 1635 622 2257 
110 5995 3116 9111 3221 3116 6337 5995 104 6099 747 808 1555 594 299 893 1646 611 2257 
110 5995 2683 8678 2788 2683 5471 5995 103 6098 725 506 1231 605 332 937 1660 634 2294 
110 5995 2878 8873 2984 2878 5862 5995 99 6094 702 612 1314 607 303 910 1631 618 2249 
110 5995 2819 8814 2923 2819 5742 5995 100 6095 696 822 1518 611 316 927 1645 623 2268 
120 7140 3817 10957 3934 3817 7751 7140 113 7253 806 650 1456 685 347 1032 1844 679 2523 
120 7140 3865 11005 3980 3865 7845 7140 111 7251 770 734 1504 686 335 1021 1864 686 2550 
120 7140 3563 10703 3681 3563 7244 7140 114 7254 943 876 1819 681 326 1007 1795 658 2453 
120 7140 3331 10471 3448 3331 6779 7140 115 7255 775 780 1555 689 359 1048 1844 679 2523 
120 7140 3113 10253 3229 3113 6342 7140 112 7252 838 842 1680 683 354 1037 1845 704 2549 
120 7140 3351 10491 3466 3351 6817 7140 111 7251 848 596 1444 676 346 1022 1838 686 2524 
120 7140 3989 11129 4106 3989 8095 7140 115 7255 759 612 1371 673 344 1017 1813 672 2485 
120 7140 3482 10622 3598 3482 7080 7140 117 7257 925 890 1815 688 353 1041 1835 681 2516 
120 7140 3480 10620 3597 3480 7077 7140 115 7255 850 830 1680 679 357 1036 1825 686 2511 
120 7140 3414 10554 3529 3414 6943 7140 113 7253 913 672 1585 678 340 1018 1830 679 2509 
130 8385 4350 12735 4473 4350 8823 8385 128 8513 839 792 1631 752 379 1131 2030 750 2780 
130 8385 4450 12835 4576 4450 9026 8385 123 8508 954 902 1856 751 382 1133 2025 727 2752 
130 8385 4170 12555 4290 4170 8460 8385 122 8507 851 984 1835 753 388 1141 2006 745 2751 
130 8385 4336 12721 4458 4336 8794 8385 124 8509 860 982 1842 735 356 1091 2049 755 2804 
130 8385 3939 12324 4064 3939 8003 8385 125 8510 978 778 1756 743 395 1138 2018 765 2783 
130 8385 3965 12350 4088 3965 8053 8385 124 8509 868 922 1790 748 381 1129 2076 791 2867 
130 8385 4082 12467 4205 4082 8287 8385 121 8506 862 838 1700 746 388 1134 2029 746 2775 
130 8385 3939 12324 4063 3939 8002 8385 125 8510 919 852 1771 751 396 1147 2038 766 2804 
130 8385 4472 12857 4596 4472 9068 8385 123 8508 855 894 1749 750 377 1127 2004 726 2730 
130 8385 4415 12800 4541 4415 8956 8385 123 8508 990 1018 2008 748 383 1131 2018 748 2766 
140 9730 4941 14671 5074 4941 10015 9730 134 9864 974 1164 2138 827 426 1253 2223 813 3036 
140 9730 4634 14364 4770 4634 9404 9730 133 9863 941 838 1779 820 423 1243 2209 821 3030 
140 9730 5122 14852 5258 5122 10380 9730 137 9867 910 854 1764 828 426 1254 2191 802 2993 
140 9730 4641 14371 4773 4641 9414 9730 136 9866 916 856 1772 832 425 1257 2239 847 3086 
140 9730 5014 14744 5147 5014 10161 9730 135 9865 1042 1116 2158 829 436 1265 2232 813 3045 
140 9730 5169 14899 5306 5169 10475 9730 132 9862 1010 976 1986 830 434 1264 2230 805 3035 
140 9730 4437 14167 4571 4437 9008 9730 136 9866 923 924 1847 834 440 1274 2252 841 3093 
140 9730 4768 14498 4897 4768 9665 9730 136 9866 1096 1370 2466 832 416 1248 2220 832 3052 
140 9730 4810 14540 4947 4810 9757 9730 134 9864 1032 790 1822 832 440 1272 2238 842 3080 
140 9730 4787 14517 4921 4787 9708 9730 129 9859 935 824 1759 836 451 1287 2215 808 3023 
150 11175 5674 16849 5820 5674 11494 11175 143 11318 1262 1540 2802 910 467 1377 2476 929 3405 
150 11175 5607 16782 5749 5607 11356 11175 146 11321 977 992 1969 892 466 1358 2441 906 3347 
